% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.306214	1	1	1	8.23854e-15	27.527	0
0.307214	1	1	1	8.23393e-15	27.5116	0
0.308214	1	1	1	8.22933e-15	27.4962	0
0.309214	1	1	1	8.22473e-15	27.4809	0
0.310214	1	1	1	8.22013e-15	27.4655	0
0.311214	1	1	1	8.21554e-15	27.4502	0
0.312214	1	1	1	8.21095e-15	27.4348	0
0.313214	1	1	1	8.20636e-15	27.4195	0
0.314214	1	1	1	8.20178e-15	27.4042	0
0.315214	1	1	1	8.1972e-15	27.3889	0
0.316214	1	1	1	8.19262e-15	27.3736	0
0.317214	1	1	1	8.18804e-15	27.3583	0
0.318214	1	1	1	8.18347e-15	27.343	0
0.319214	1	1	1	8.17891e-15	27.3278	0
0.320214	1	1	1	8.17434e-15	27.3125	0
0.321214	1	1	1	8.16978e-15	27.2973	0
0.322214	1	1	1	8.16522e-15	27.282	0
0.323214	1	1	1	8.16067e-15	27.2668	0
0.324214	1	1	1	8.15611e-15	27.2516	0
0.325214	1	1	1	8.15157e-15	27.2364	0
0.326214	1	1	1	8.14702e-15	27.2212	0
0.327214	1	1	1	8.14248e-15	27.206	0
0.328214	1	1	1	8.13794e-15	27.1909	0
0.329214	1	1	1	8.1334e-15	27.1757	0
0.330214	1	1	1	8.12887e-15	27.1606	0
0.331214	1	1	1	8.12434e-15	27.1454	0
0.332214	1	1	1	8.11982e-15	27.1303	0
0.333214	1	1	1	8.11529e-15	27.1152	0
0.334214	1	1	1	8.11077e-15	27.1001	0
0.335214	1	1	1	8.10626e-15	27.085	0
0.336214	1	1	1	8.10174e-15	27.0699	0
0.337214	1	1	1	8.09723e-15	27.0549	0
0.338214	1	1	1	8.09272e-15	27.0398	0
0.339214	1	1	1	8.08822e-15	27.0247	0
0.340214	1	1	1	8.08372e-15	27.0097	0
0.341214	1	1	1	8.07922e-15	26.9947	0
0.342214	1	1	1	8.07473e-15	26.9797	0
0.343214	1	1	1	8.07023e-15	26.9647	0
0.344214	1	1	1	8.06575e-15	26.9497	0
0.345214	1	1	1	8.06126e-15	26.9347	0
0.346214	1	1	1	8.05678e-15	26.9197	0
0.347214	1	1	1	8.0523e-15	26.9047	0
0.348214	1	1	1	8.04782e-15	26.8898	0
0.349214	1	1	1	8.04335e-15	26.8748	0
0.350214	1	1	1	8.03888e-15	26.8599	0
0.351214	1	1	1	8.03441e-15	26.845	0
0.352214	1	1	1	8.02995e-15	26.8301	0
0.353214	1	1	1	8.02549e-15	26.8152	0
0.354214	1	1	1	8.02103e-15	26.8003	0
0.355214	1	1	1	8.01658e-15	26.7854	0
0.356214	1	1	1	8.01213e-15	26.7705	0
0.357214	1	1	1	8.00768e-15	26.7556	0
0.358214	1	1	1	8.00323e-15	26.7408	0
0.359214	1	1	1	7.99879e-15	26.726	0
0.360214	1	1	1	7.99435e-15	26.7111	0
0.361214	1	1	1	7.98992e-15	26.6963	0
0.362214	1	1	1	7.98549e-15	26.6815	0
0.363214	1	1	1	7.98106e-15	26.6667	0
0.364214	1	1	1	7.97663e-15	26.6519	0
0.365214	1	1	1	7.97221e-15	26.6371	0
0.366214	1	1	1	7.96779e-15	26.6224	0
0.367214	1	1	1	7.96337e-15	26.6076	0
0.368214	1	1	1	7.95896e-15	26.5928	0
0.369214	1	1	1	7.95455e-15	26.5781	0
0.370214	1	1	1	7.95014e-15	26.5634	0
0.371214	1	1	1	7.94573e-15	26.5487	0
0.372214	1	1	1	7.94133e-15	26.534	0
0.373214	1	1	1	7.93693e-15	26.5193	0
0.374214	1	1	1	7.93254e-15	26.5046	0
0.375214	1	1	1	7.92814e-15	26.4899	0
0.376214	1	1	1	7.92375e-15	26.4752	0
0.377214	1	1	1	7.91937e-15	26.4606	0
0.378214	1	1	1	7.91499e-15	26.4459	0
0.379214	1	1	1	7.9106e-15	26.4313	0
0.380214	1	1	1	7.90623e-15	26.4167	0
