% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
6.721	1	1	1	0.0683714	0
6.761	1	1	1	0.0675805	0
6.801	1	1	1	0.0668011	0
6.841	1	1	1	0.0660329	0
6.881	1	1	1	0.0652758	0
6.921	1	1	1	0.0645295	0
6.961	1	1	1	0.063794	0
7.001	1	1	1	0.0630689	0
7.041	1	1	1	0.0623542	0
7.081	1	1	1	0.0616496	0
7.121	1	1	1	0.060955	0
7.161	1	1	1	0.0602702	0
7.201	1	1	1	0.059595	0
7.241	1	1	1	0.0589293	0
7.281	1	1	1	0.058273	0
7.321	1	1	1	0.0576258	0
7.361	1	1	1	0.0569876	0
7.401	1	1	1	0.0563582	0
7.441	1	1	1	0.0557376	0
7.481	1	1	1	0.0551255	0
7.521	1	1	1	0.0545218	0
7.561	1	1	1	0.0539264	0
7.601	1	1	1	0.0533392	0
7.641	1	1	1	0.05276	0
7.681	1	1	1	0.0521886	0
7.721	1	1	1	0.0516251	0
7.761	1	1	1	0.0510691	0
7.801	1	1	1	0.0505206	0
7.841	1	1	1	0.0499796	0
7.881	1	1	1	0.0494457	0
7.921	1	1	1	0.0489191	0
7.961	1	1	1	0.0483994	0
8.001	1	1	1	0.0478867	0
8.041	1	1	1	0.0473808	0
8.081	1	1	1	0.0468815	0
8.121	1	1	1	0.0463889	0
8.161	1	1	1	0.0459028	0
8.201	1	1	1	0.045423	0
8.241	1	1	1	0.0449495	0
8.281	1	1	1	0.0444822	0
8.321	1	1	1	0.044021	0
8.361	1	1	1	0.0435658	0
8.401	1	1	1	0.0431165	0
8.441	1	1	1	0.042673	0
8.481	1	1	1	0.0422352	0
8.521	1	1	1	0.041803	0
8.561	1	1	1	0.0413764	0
8.601	1	1	1	0.0409552	0
8.641	1	1	1	0.0405394	0
8.681	1	1	1	0.0401289	0
8.721	1	1	1	0.0397236	0
8.761	1	1	1	0.0393234	0
8.801	1	1	1	0.0389283	0
8.841	1	1	1	0.0385382	0
8.881	1	1	1	0.0381529	0
8.921	1	1	1	0.0377725	0
8.961	1	1	1	0.0373969	0
9.001	1	1	1	0.0370259	0
9.041	1	1	1	0.0366595	0
9.081	1	1	1	0.0362977	0
9.121	1	1	1	0.0359403	0
9.161	1	1	1	0.0355874	0
9.201	1	1	1	0.0352388	0
9.241	1	1	1	0.0348945	0
9.281	1	1	1	0.0345544	0
9.321	1	1	1	0.0342184	0
9.361	1	1	1	0.0338866	0
9.401	1	1	1	0.0335588	0
9.441	1	1	1	0.0332349	0
9.481	1	1	1	0.032915	0
9.521	1	1	1	0.0325989	0
9.561	1	1	1	0.0322867	0
9.601	1	1	1	0.0319782	0
9.641	1	1	1	0.0316733	0
9.681	1	1	1	0.0313722	0
9.721	1	1	1	0.0310746	0
9.761	1	1	1	0.0307805	0
9.801	1	1	1	0.03049	0
9.841	1	1	1	0.0302028	0
9.881	1	1	1	0.0299191	0
9.921	1	1	1	0.0296387	0
9.961	1	1	1	0.0293616	0
10.001	1	1	1	0.0290877	0
10.041	1	1	1	0.0288171	0
10.081	1	1	1	0.0285496	0
10.121	1	1	1	0.0282852	0
10.161	1	1	1	0.0280239	0
10.201	1	1	1	0.0277656	0
10.241	1	1	1	0.0275103	0
10.281	1	1	1	0.0272579	0
10.321	1	1	1	0.0270085	0
10.361	1	1	1	0.0267619	0
10.401	1	1	1	0.0265181	0
10.441	1	1	1	0.0262771	0
10.481	1	1	1	0.0260389	0
10.521	1	1	1	0.0258033	0
10.561	1	1	1	0.0255705	0
10.601	1	1	1	0.0253402	0
10.641	1	1	1	0.0251126	0
10.681	1	1	1	0.0248875	0
10.721	1	1	1	0.024665	0
10.761	1	1	1	0.0244449	0
10.801	1	1	1	0.0242273	0
10.841	1	1	1	0.0240122	0
10.881	1	1	1	0.0237994	0
10.921	1	1	1	0.023589	0
10.961	1	1	1	0.0233809	0
11.001	1	1	1	0.0231752	0
11.041	1	1	1	0.0229717	0
11.081	1	1	1	0.0227704	0
11.121	1	1	1	0.0225713	0
11.161	1	1	1	0.0223745	0
11.201	1	1	1	0.0221798	0
11.241	1	1	1	0.0219872	0
11.281	1	1	1	0.0217967	0
11.321	1	1	1	0.0216082	0
11.361	1	1	1	0.0214219	0
11.401	1	1	1	0.0212375	0
11.441	1	1	1	0.0210551	0
11.481	1	1	1	0.0208747	0
11.521	1	1	1	0.0206962	0
11.561	1	1	1	0.0205197	0
11.601	1	1	1	0.020345	0
11.641	1	1	1	0.0201722	0
11.681	1	1	1	0.0200012	0
11.721	1	1	1	0.019832	0
11.761	1	1	1	0.0196647	0
11.801	1	1	1	0.0194991	0
11.841	1	1	1	0.0193352	0
11.881	1	1	1	0.0191731	0
11.921	1	1	1	0.0190127	0
11.961	1	1	1	0.018854	0
12.001	1	1	1	0.0186969	0
12.041	1	1	1	0.0185415	0
12.081	1	1	1	0.0183877	0
12.121	1	1	1	0.0182355	0
12.161	1	1	1	0.0180848	0
12.201	1	1	1	0.0179358	0
12.241	1	1	1	0.0177882	0
12.281	1	1	1	0.0176422	0
12.321	1	1	1	0.0174977	0
12.361	1	1	1	0.0173547	0
12.401	1	1	1	0.0172132	0
12.441	1	1	1	0.017073	0
12.481	1	1	1	0.0169344	0
12.521	1	1	1	0.0167971	0
12.561	1	1	1	0.0166612	0
12.601	1	1	1	0.0165267	0
12.641	1	1	1	0.0163936	0
12.681	1	1	1	0.0162618	0
12.721	1	1	1	0.0161314	0
12.761	1	1	1	0.0160022	0
12.801	1	1	1	0.0158744	0
12.841	1	1	1	0.0157478	0
12.881	1	1	1	0.0156225	0
12.921	1	1	1	0.0154984	0
12.961	1	1	1	0.0153756	0
13.001	1	1	1	0.015254	0
13.041	1	1	1	0.0151336	0
13.081	1	1	1	0.0150144	0
13.121	1	1	1	0.0148964	0
13.161	1	1	1	0.0147796	0
13.201	1	1	1	0.0146638	0
13.241	1	1	1	0.0145493	0
13.281	1	1	1	0.0144358	0
13.321	1	1	1	0.0143235	0
13.361	1	1	1	0.0142122	0
13.401	1	1	1	0.0141021	0
13.441	1	1	1	0.013993	0
13.481	1	1	1	0.0138849	0
13.521	1	1	1	0.013778	0
13.561	1	1	1	0.013672	0
13.601	1	1	1	0.0135671	0
13.641	1	1	1	0.0134631	0
13.681	1	1	1	0.0133602	0
13.721	1	1	1	0.0132583	0
13.761	1	1	1	0.0131573	0
13.801	1	1	1	0.0130573	0
13.841	1	1	1	0.0129583	0
13.881	1	1	1	0.0128602	0
13.921	1	1	1	0.012763	0
13.961	1	1	1	0.0126667	0
14.001	1	1	1	0.0125714	0
14.041	1	1	1	0.012477	0
14.081	1	1	1	0.0123834	0
14.121	1	1	1	0.0122907	0
14.161	1	1	1	0.0121989	0
14.201	1	1	1	0.012108	0
14.241	1	1	1	0.0120179	0
14.281	1	1	1	0.0119287	0
14.321	1	1	1	0.0118402	0
14.361	1	1	1	0.0117526	0
14.401	1	1	1	0.0116658	0
14.441	1	1	1	0.0115799	0
14.481	1	1	1	0.0114947	0
14.521	1	1	1	0.0114103	0
14.561	1	1	1	0.0113266	0
14.601	1	1	1	0.0112438	0
14.641	1	1	1	0.0111617	0
14.681	1	1	1	0.0110804	0
14.721	1	1	1	0.0109998	0
14.761	1	1	1	0.0109199	0
14.801	1	1	1	0.0108408	0
14.841	1	1	1	0.0107623	0
14.881	1	1	1	0.0106846	0
14.921	1	1	1	0.0106076	0
14.961	1	1	1	0.0105313	0
15.001	1	1	1	0.0104557	0
15.041	1	1	1	0.0103808	0
15.081	1	1	1	0.0103065	0
15.121	1	1	1	0.0102329	0
15.161	1	1	1	0.01016	0
15.201	1	1	1	0.0100877	0
15.241	1	1	1	0.010016	0
15.281	1	1	1	0.00994502	0
15.321	1	1	1	0.00987464	0
15.361	1	1	1	0.0098049	0
15.401	1	1	1	0.00973576	0
15.441	1	1	1	0.00966724	0
15.481	1	1	1	0.00959933	0
15.521	1	1	1	0.00953201	0
15.561	1	1	1	0.00946529	0
15.601	1	1	1	0.00939915	0
15.641	1	1	1	0.00933359	0
15.681	1	1	1	0.00926861	0
15.721	1	1	1	0.00920419	0
15.761	1	1	1	0.00914033	0
15.801	1	1	1	0.00907703	0
15.841	1	1	1	0.00901428	0
15.881	1	1	1	0.00895207	0
15.921	1	1	1	0.00889041	0
15.961	1	1	1	0.00882927	0
16.001	1	1	1	0.00876866	0
16.041	1	1	1	0.00870858	0
16.081	1	1	1	0.00864901	0
16.121	1	1	1	0.00858995	0
16.161	1	1	1	0.00853139	0
16.201	1	1	1	0.00847334	0
16.241	1	1	1	0.00841578	0
16.281	1	1	1	0.00835872	0
16.321	1	1	1	0.00830213	0
16.361	1	1	1	0.00824603	0
16.401	1	1	1	0.00819041	0
16.441	1	1	1	0.00813525	0
16.681	1	1	2	0.00781394	0
16.721	1	1	2	0.00776195	0
16.761	1	1	2	0.00771039	0
16.801	1	1	2	0.00765926	0
16.841	1	1	2	0.00760856	0
16.881	1	1	2	0.00755828	0
16.921	1	1	2	0.00750842	0
16.961	1	1	2	0.00745896	0
17.001	1	1	2	0.00740992	0
17.041	1	1	2	0.00736128	0
17.081	1	1	2	0.00731304	0
17.121	1	1	2	0.0072652	0
17.161	1	1	2	0.00721775	0
17.201	1	1	2	0.00717069	0
17.241	1	1	2	0.00712401	0
17.281	1	1	2	0.00707772	0
17.321	1	1	2	0.0070318	0
17.361	1	1	2	0.00698625	0
17.401	1	1	2	0.00694108	0
17.441	1	1	2	0.00689627	0
17.481	1	1	2	0.00685183	0
17.521	1	1	2	0.00680774	0
17.561	1	1	2	0.00676401	0
17.601	1	1	2	0.00672063	0
17.641	1	1	2	0.00667761	0
17.681	1	1	2	0.00663492	0
17.721	1	1	2	0.00659258	0
17.761	1	1	2	0.00655058	0
17.801	1	1	2	0.00650891	0
17.841	1	1	2	0.00646758	0
